variant,paired_runs,trajectory_different_runs,phase_allocation_different_runs,final_value_different_runs,median_gap_difference_vs_full
NoGraphGuidance,35,35,12,20,0.0
SingleBracket,35,18,5,3,0.0
NoFarBasin,35,30,30,12,0.0
NoGeometryController,35,5,5,0,0.0
NoArchiveFallback,35,35,35,17,0.0
NoFinalPolish,35,35,35,15,0.0
