variant,mean_rank,median_rank,wins,median_normalized_gap,mean_archive_nodes,mean_graph_edges,mean_wall_time_seconds,runs
NoArchiveFallback,3.557142857142857,3.0,19,2.985086306506768e-09,77.6,65.45714285714286,0.0745757475714916,35
SingleBracket,3.742857142857143,3.5,28,1.3508878443483263e-09,77.51428571428572,64.8,0.07064295948579713,35
NoFinalPolish,3.9285714285714284,4.0,21,1.575846052839697e-09,78.8,67.28571428571429,0.0706828678284312,35
Full,4.114285714285714,4.0,25,1.3508878443483263e-09,77.57142857142857,65.08571428571429,0.06975468688568587,35
NoGeometryController,4.114285714285714,4.0,25,1.3508878443483263e-09,80.0,68.28571428571429,0.07070691551413927,35
NoFarBasin,4.171428571428572,4.0,19,2.640618018036123e-09,77.57142857142857,61.97142857142857,0.06209605131417832,35
NoGraphGuidance,4.371428571428571,4.5,13,1.7022729004352544e-09,80.0,74.22857142857143,0.04488065828572867,35
