instance_id,algorithm,target_residual,runs,successes,success_rate,ert_function_evaluations,median_nfe_to_target_successes,dimension,dimension_group
CAMEL6,CMA-ES,1e-05,30,30,1.0,148.5,138.0,2,small_2_20
CAMEL6,CMA-ES,0.001,30,30,1.0,85.03333333333333,80.0,2,small_2_20
CAMEL6,CMA-ES,0.1,30,30,1.0,10.966666666666667,7.5,2,small_2_20
CAMEL6,Differential Evolution,1e-05,30,30,1.0,407.23333333333335,391.5,2,small_2_20
CAMEL6,Differential Evolution,0.001,30,30,1.0,202.0,202.5,2,small_2_20
CAMEL6,Differential Evolution,0.1,30,30,1.0,18.366666666666667,12.5,2,small_2_20
CAMEL6,Latin Hypercube Sampling,1e-05,30,0,0.0,inf,,2,small_2_20
CAMEL6,Latin Hypercube Sampling,0.001,30,10,0.3333333333333333,2727.0,766.5,2,small_2_20
CAMEL6,Latin Hypercube Sampling,0.1,30,30,1.0,25.433333333333334,14.0,2,small_2_20
CAMEL6,Multi-start L-BFGS-B,1e-05,30,30,1.0,41.4,37.0,2,small_2_20
CAMEL6,Multi-start L-BFGS-B,0.001,30,30,1.0,36.9,31.0,2,small_2_20
CAMEL6,Multi-start L-BFGS-B,0.1,30,30,1.0,27.4,19.0,2,small_2_20
CAMEL6,Random Search,1e-05,30,0,0.0,inf,,2,small_2_20
CAMEL6,Random Search,0.001,30,10,0.3333333333333333,2407.3,365.0,2,small_2_20
CAMEL6,Random Search,0.1,30,30,1.0,24.933333333333334,13.5,2,small_2_20
CHEBYQAD[N=50],BIPOP-CMA-ES,1e-05,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],BIPOP-CMA-ES,0.1,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],BasinGraph,1e-05,30,1,0.03333333333333333,74112.0,1612.0,50,medium_21_100
CHEBYQAD[N=50],BasinGraph,0.001,30,1,0.03333333333333333,73908.0,1408.0,50,medium_21_100
CHEBYQAD[N=50],BasinGraph,0.1,30,1,0.03333333333333333,73888.0,1388.0,50,medium_21_100
CHEBYQAD[N=50],CMA-ES,1e-05,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],CMA-ES,0.001,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],CMA-ES,0.1,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],Differential Evolution,1e-05,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],Differential Evolution,0.001,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],Differential Evolution,0.1,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],Latin Hypercube Sampling,1e-05,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],Latin Hypercube Sampling,0.1,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],Multi-start L-BFGS-B,1e-05,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],Multi-start L-BFGS-B,0.001,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],Multi-start L-BFGS-B,0.1,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],Random Search,1e-05,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],Random Search,0.001,30,0,0.0,inf,,50,medium_21_100
CHEBYQAD[N=50],Random Search,0.1,30,0,0.0,inf,,50,medium_21_100
CVXBQP1[N=50],BIPOP-CMA-ES,1e-05,30,0,0.0,inf,,50,medium_21_100
CVXBQP1[N=50],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,50,medium_21_100
CVXBQP1[N=50],BIPOP-CMA-ES,0.1,30,14,0.4666666666666667,5167.642857142857,2350.0,50,medium_21_100
CVXBQP1[N=50],BasinGraph,1e-05,30,30,1.0,2.0,2.0,50,medium_21_100
CVXBQP1[N=50],BasinGraph,0.001,30,30,1.0,2.0,2.0,50,medium_21_100
CVXBQP1[N=50],BasinGraph,0.1,30,30,1.0,2.0,2.0,50,medium_21_100
CVXBQP1[N=50],CMA-ES,1e-05,30,0,0.0,inf,,50,medium_21_100
CVXBQP1[N=50],CMA-ES,0.001,30,0,0.0,inf,,50,medium_21_100
CVXBQP1[N=50],CMA-ES,0.1,30,17,0.5666666666666667,4234.35294117647,2328.0,50,medium_21_100
CVXBQP1[N=50],Differential Evolution,1e-05,30,0,0.0,inf,,50,medium_21_100
CVXBQP1[N=50],Differential Evolution,0.001,30,0,0.0,inf,,50,medium_21_100
CVXBQP1[N=50],Differential Evolution,0.1,30,0,0.0,inf,,50,medium_21_100
CVXBQP1[N=50],Latin Hypercube Sampling,1e-05,30,0,0.0,inf,,50,medium_21_100
CVXBQP1[N=50],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,50,medium_21_100
CVXBQP1[N=50],Latin Hypercube Sampling,0.1,30,0,0.0,inf,,50,medium_21_100
CVXBQP1[N=50],Multi-start L-BFGS-B,1e-05,30,30,1.0,52.0,52.0,50,medium_21_100
CVXBQP1[N=50],Multi-start L-BFGS-B,0.001,30,30,1.0,52.0,52.0,50,medium_21_100
CVXBQP1[N=50],Multi-start L-BFGS-B,0.1,30,30,1.0,52.0,52.0,50,medium_21_100
CVXBQP1[N=50],Random Search,1e-05,30,0,0.0,inf,,50,medium_21_100
CVXBQP1[N=50],Random Search,0.001,30,0,0.0,inf,,50,medium_21_100
CVXBQP1[N=50],Random Search,0.1,30,0,0.0,inf,,50,medium_21_100
DEVGLA1B,BIPOP-CMA-ES,1e-05,30,2,0.06666666666666667,14913.5,913.5,4,small_2_20
DEVGLA1B,BIPOP-CMA-ES,0.001,30,3,0.1,9830.666666666666,781.0,4,small_2_20
DEVGLA1B,BIPOP-CMA-ES,0.1,30,12,0.4,2227.0,868.0,4,small_2_20
DEVGLA1B,BasinGraph,1e-05,30,0,0.0,inf,,4,small_2_20
DEVGLA1B,BasinGraph,0.001,30,0,0.0,inf,,4,small_2_20
DEVGLA1B,BasinGraph,0.1,30,3,0.1,9957.0,948.0,4,small_2_20
DEVGLA1B,CMA-ES,1e-05,30,1,0.03333333333333333,29834.0,834.0,4,small_2_20
DEVGLA1B,CMA-ES,0.001,30,3,0.1,9894.666666666666,973.0,4,small_2_20
DEVGLA1B,CMA-ES,0.1,30,10,0.3333333333333333,2796.7,856.5,4,small_2_20
DEVGLA1B,Differential Evolution,1e-05,30,0,0.0,inf,,4,small_2_20
DEVGLA1B,Differential Evolution,0.001,30,0,0.0,inf,,4,small_2_20
DEVGLA1B,Differential Evolution,0.1,30,8,0.26666666666666666,3551.625,809.0,4,small_2_20
DEVGLA1B,Latin Hypercube Sampling,1e-05,30,0,0.0,inf,,4,small_2_20
DEVGLA1B,Latin Hypercube Sampling,0.001,30,0,0.0,inf,,4,small_2_20
DEVGLA1B,Latin Hypercube Sampling,0.1,30,0,0.0,inf,,4,small_2_20
DEVGLA1B,Multi-start L-BFGS-B,1e-05,30,0,0.0,inf,,4,small_2_20
DEVGLA1B,Multi-start L-BFGS-B,0.001,30,0,0.0,inf,,4,small_2_20
DEVGLA1B,Multi-start L-BFGS-B,0.1,30,0,0.0,inf,,4,small_2_20
DEVGLA1B,Random Search,1e-05,30,0,0.0,inf,,4,small_2_20
DEVGLA1B,Random Search,0.001,30,0,0.0,inf,,4,small_2_20
DEVGLA1B,Random Search,0.1,30,0,0.0,inf,,4,small_2_20
DGOSPEC,BIPOP-CMA-ES,1e-05,30,18,0.6,1109.611111111111,376.0,3,small_2_20
DGOSPEC,BIPOP-CMA-ES,0.001,30,20,0.6666666666666666,802.3,229.0,3,small_2_20
DGOSPEC,BIPOP-CMA-ES,0.1,30,30,1.0,4.033333333333333,3.0,3,small_2_20
DGOSPEC,BasinGraph,1e-05,30,30,1.0,143.0,143.0,3,small_2_20
DGOSPEC,BasinGraph,0.001,30,30,1.0,58.0,59.0,3,small_2_20
DGOSPEC,BasinGraph,0.1,30,30,1.0,2.0,2.0,3,small_2_20
DGOSPEC,CMA-ES,1e-05,30,14,0.4666666666666667,1553.4285714285713,378.5,3,small_2_20
DGOSPEC,CMA-ES,0.001,30,15,0.5,1206.9333333333334,184.0,3,small_2_20
DGOSPEC,CMA-ES,0.1,30,30,1.0,4.3,2.0,3,small_2_20
DGOSPEC,Differential Evolution,1e-05,30,29,0.9666666666666667,613.1379310344828,589.0,3,small_2_20
DGOSPEC,Differential Evolution,0.001,30,29,0.9666666666666667,286.17241379310343,276.0,3,small_2_20
DGOSPEC,Differential Evolution,0.1,30,30,1.0,4.666666666666667,4.0,3,small_2_20
DGOSPEC,Latin Hypercube Sampling,1e-05,30,0,0.0,inf,,3,small_2_20
DGOSPEC,Latin Hypercube Sampling,0.001,30,23,0.7666666666666667,735.0,370.0,3,small_2_20
DGOSPEC,Latin Hypercube Sampling,0.1,30,30,1.0,3.6333333333333333,3.0,3,small_2_20
DGOSPEC,Multi-start L-BFGS-B,1e-05,30,30,1.0,105.0,105.0,3,small_2_20
