baseline,problems,basingraph_better,basingraph_worse,ties,paired_win_probability,vargha_delaney_A12_basingraph_better,wilcoxon_statistic,wilcoxon_p_value_two_sided,median_score_difference_bg_minus_baseline,holm_adjusted_p_value,significant_after_holm_0_05
BIPOP-CMA-ES,50,38,11,8,0.84,0.8266,171.0,1.1245199370942185e-05,-0.014133905043100883,2.249039874188437e-05,True
CMA-ES,50,39,10,8,0.86,0.8354,158.0,6.1534985752603416e-06,-0.016055773879435103,1.8460495725781025e-05,True
Differential Evolution,50,45,5,0,0.9,0.8816,89.0,3.3822118439275073e-09,-0.4723641547225722,1.6911059219637536e-08,True
Multi-start L-BFGS-B,50,30,11,14,0.74,0.7042,141.0,0.0001758184127257251,-1.0267169881033608e-14,0.0001758184127257251,True
Latin Hypercube Sampling,50,49,1,0,0.98,0.922,13.0,1.5631940186722204e-13,-0.5897798651060646,9.379164112033322e-13,True
Random Search,50,46,1,3,0.95,0.8808,12.0,5.17789897689988e-09,-0.4756672832236574,2.071159590759952e-08,True
