algorithm,mean_final_value_rank,mean_rank_ci95_low,mean_rank_ci95_high,median_final_value_rank,final_value_wins,median_normalized_residual,mean_success_rate_1e_1,mean_success_rate_1e_3,mean_success_rate_1e_5,median_wall_time_seconds,median_budget_ratio,problems
BasinGraph,1.92,1.57,2.31,1.5,37,0.0,0.8813333333333333,0.792,0.72,0.018655041756574026,1.0,50
Multi-start L-BFGS-B,2.73,2.34,3.15,2.0,20,0.0026710144989496257,0.6940000000000001,0.48266666666666663,0.47400000000000003,0.016195041738683323,1.0,50
CMA-ES,3.03,2.71,3.39,3.0,11,0.02460104103498207,0.66,0.3133333333333333,0.2613333333333333,0.13349782273871819,1.0,50
BIPOP-CMA-ES,3.25,2.91,3.58,3.5,11,0.02351721503970616,0.6633333333333334,0.33466666666666667,0.28,0.14015323951025488,1.0,50
Differential Evolution,4.94,4.58,5.280499999999993,5.0,1,0.5448496287666522,0.36666666666666664,0.306,0.26333333333333336,0.02679304148477965,1.0,50
Random Search,5.85,5.479750000000001,6.18,6.0,3,0.5908011313141625,0.33266666666666667,0.17200000000000004,0.07866666666666666,0.008367218484636351,1.0,50
Latin Hypercube Sampling,6.28,6.04,6.48,6.0,0,0.6627281948751333,0.2906666666666667,0.10399999999999998,0.02066666666666667,0.0071806250052759,1.0,50
