instance_id,algorithm,dimension_group,objective_type,median_normalized_residual,mean_normalized_residual,median_log10_residual,q25_normalized_residual,q75_normalized_residual,median_fbest,mean_fbest,median_budget_ratio,median_wall_time_seconds,success_rate_1e_1,success_rate_1e_3,success_rate_1e_5,final_value_rank,final_value_win
BQPGABIM,BIPOP-CMA-ES,medium_21_100,quadratic,5.628310701750377,8.945819525171594,0.7503380642520316,3.928876655036184,11.837124279381868,0.16346173638821293,0.24527530505759423,1.0,0.12690431246301154,0.0,0.0,0.0,3.0,False
BQPGABIM,BasinGraph,medium_21_100,quadratic,0.0,0.0,-16.0,0.0,0.0,0.0246611457644927,0.0246611457644927,1.0,0.0181750830088276,1.0,1.0,1.0,1.0,True
BQPGABIM,CMA-ES,medium_21_100,quadratic,3.649001473194373,4.346057440966748,0.5621415267683852,2.2664098358819835,4.582825023743686,0.11464970298978774,0.1318399018170318,1.0,0.11527629199554205,0.0,0.0,0.0,2.0,False
BQPGABIM,Differential Evolution,medium_21_100,quadratic,444.92328148190734,442.1833781600516,2.6482851296794108,408.7172849482693,473.3527837653023,10.996979044406226,10.92940988920532,1.0,0.02525316653191105,0.0,0.0,0.0,5.0,False
BQPGABIM,Latin Hypercube Sampling,medium_21_100,quadratic,467.55509665177226,455.45644018513053,2.669832698000854,437.78351112009096,488.1618037772819,11.55510553722532,11.256738806546945,1.0,0.00691589550115165,0.0,0.0,0.0,6.0,False
BQPGABIM,Multi-start L-BFGS-B,medium_21_100,quadratic,6.677916327214601,6.6774881760103835,0.8246409731405381,6.677916327214601,6.677916327214601,0.1893462137130177,0.18933565501376126,1.0,0.015796916501130902,0.0,0.0,0.0,4.0,False
BQPGABIM,Random Search,medium_21_100,quadratic,471.92322300643883,444.4548875527848,2.673869559221118,424.34415496023803,474.49363097183993,11.662828537975475,10.985427913444932,1.0,0.0080282079870812,0.0,0.0,0.0,7.0,False
BQPGASIM,BIPOP-CMA-ES,medium_21_100,quadratic,7.35852680770885,9.713289977972684,0.8667833727244296,4.70781844054875,12.98364472419053,0.2163356688302216,0.27728172751917324,1.0,0.1436513125081546,0.0,0.0,0.0,4.0,False
BQPGASIM,BasinGraph,medium_21_100,quadratic,0.0,0.0,-16.0,0.0,0.0,0.0258820332586241,0.0258820332586241,1.0,0.01935629150830205,1.0,1.0,1.0,1.0,True
BQPGASIM,CMA-ES,medium_21_100,quadratic,2.897642861366359,3.6726719603554208,0.46204314712530137,2.122773879637856,3.8733923621469666,0.1008789221681229,0.12093825108455927,1.0,0.1334265414916444,0.0,0.0,0.0,2.0,False
BQPGASIM,Differential Evolution,medium_21_100,quadratic,479.95418839881665,483.26039522694896,2.6811958429900256,448.48369795276506,508.86724601954,12.448072300012733,12.533643655098343,1.0,0.0267821039888076,0.0,0.0,0.0,5.0,False
BQPGASIM,Latin Hypercube Sampling,medium_21_100,quadratic,504.70474002255526,502.5818080955545,2.703037236708119,480.17130546937176,525.3602478612609,13.08866690030763,13.033721105567201,1.0,0.0076337909849826,0.0,0.0,0.0,6.0,False
BQPGASIM,Multi-start L-BFGS-B,medium_21_100,quadratic,6.888216051614749,6.888216051614749,0.8381067604770398,6.888216051614749,6.888216051614749,0.2041630701991054,0.2041630701991054,1.0,0.016808750515338,0.0,0.0,0.0,3.0,False
BQPGASIM,Random Search,medium_21_100,quadratic,506.9079767148595,499.2875861931473,2.7049280352790213,483.81675379257524,532.8194304002114,13.145691145654467,12.94845994472781,1.0,0.00885222898796195,0.0,0.0,0.0,7.0,False
