instance_id,algorithm,target_residual,runs,successes,success_rate,ert_function_evaluations,median_nfe_to_target_successes,dimension,dimension_group,best_ert_problem,performance_ratio
NCVXBQP3[N=50],BasinGraph,0.001,30,14,0.4666666666666667,4294.0,1486.0,50,medium_21_100,205.0,20.946341463414633
NCVXBQP3[N=50],CMA-ES,0.001,30,0,0.0,inf,,50,medium_21_100,205.0,inf
NCVXBQP3[N=50],Differential Evolution,0.001,30,0,0.0,inf,,50,medium_21_100,205.0,inf
NCVXBQP3[N=50],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,50,medium_21_100,205.0,inf
NCVXBQP3[N=50],Multi-start L-BFGS-B,0.001,30,30,1.0,205.0,205.0,50,medium_21_100,205.0,1.0
NCVXBQP3[N=50],Random Search,0.001,30,0,0.0,inf,,50,medium_21_100,205.0,inf
NONSCOMP[N=500],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,500,large_101_500,599892.0,inf
NONSCOMP[N=500],BasinGraph,0.001,30,0,0.0,inf,,500,large_101_500,599892.0,inf
NONSCOMP[N=500],CMA-ES,0.001,30,1,0.03333333333333333,599892.0,19892.0,500,large_101_500,599892.0,1.0
NONSCOMP[N=500],Differential Evolution,0.001,30,0,0.0,inf,,500,large_101_500,599892.0,inf
NONSCOMP[N=500],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,500,large_101_500,599892.0,inf
NONSCOMP[N=500],Multi-start L-BFGS-B,0.001,30,0,0.0,inf,,500,large_101_500,599892.0,inf
NONSCOMP[N=500],Random Search,0.001,30,0,0.0,inf,,500,large_101_500,599892.0,inf
POWERSUMB[N=10],BIPOP-CMA-ES,0.001,30,30,1.0,169.3,146.0,10,small_2_20,169.3,1.0
POWERSUMB[N=10],BasinGraph,0.001,30,3,0.1,9267.333333333334,279.0,10,small_2_20,169.3,54.73912187438472
POWERSUMB[N=10],CMA-ES,0.001,30,28,0.9333333333333333,250.03571428571428,125.0,10,small_2_20,169.3,1.476879588220403
POWERSUMB[N=10],Differential Evolution,0.001,30,29,0.9666666666666667,533.551724137931,443.0,10,small_2_20,169.3,3.151516385929894
POWERSUMB[N=10],Latin Hypercube Sampling,0.001,30,9,0.3,2601.777777777778,259.0,10,small_2_20,169.3,15.367854564546827
POWERSUMB[N=10],Multi-start L-BFGS-B,0.001,30,14,0.4666666666666667,1666.357142857143,534.5,10,small_2_20,169.3,9.842629313981941
POWERSUMB[N=10],Random Search,0.001,30,17,0.5666666666666667,1310.7058823529412,555.0,10,small_2_20,169.3,7.741913067648796
PRICE4B,BIPOP-CMA-ES,0.001,30,30,1.0,72.3,71.0,2,small_2_20,1.0,72.3
PRICE4B,BasinGraph,0.001,30,30,1.0,1.0,1.0,2,small_2_20,1.0,1.0
