function_index,algorithm,mean_rank,median_rank,wins,problems
16,Random,5.111111111111111,6.0,0,9
16,MS_LBFGSB,7.0,7.0,0,9
17,BIPOP_CMA_ES,1.1111111111111112,1.0,8,9
17,CMA_ES,2.4444444444444446,2.0,1,9
17,DE,2.4444444444444446,3.0,1,9
17,BasinGraph_v2,4.666666666666667,4.0,0,9
17,LHS,5.555555555555555,6.0,0,9
17,MS_LBFGSB,5.888888888888889,6.0,0,9
17,Random,5.888888888888889,6.0,0,9
18,DE,2.0,2.0,2,9
18,BIPOP_CMA_ES,2.111111111111111,1.0,6,9
18,CMA_ES,2.6666666666666665,3.0,1,9
18,BasinGraph_v2,3.6666666666666665,4.0,0,9
18,Random,5.222222222222222,5.0,0,9
18,LHS,5.666666666666667,6.0,0,9
18,MS_LBFGSB,6.666666666666667,7.0,0,9
19,BasinGraph_v2,1.8333333333333333,1.0,7,9
19,MS_LBFGSB,2.9444444444444446,2.0,6,9
19,BIPOP_CMA_ES,3.9444444444444446,4.0,2,9
19,CMA_ES,4.055555555555555,4.0,2,9
19,Random,4.111111111111111,3.0,0,9
19,DE,4.666666666666667,6.0,1,9
19,LHS,6.444444444444445,7.0,0,9
20,BIPOP_CMA_ES,2.5555555555555554,2.0,3,9
20,DE,2.6666666666666665,3.0,3,9
20,CMA_ES,3.5,3.0,2,9
20,BasinGraph_v2,3.611111111111111,4.0,2,9
20,MS_LBFGSB,3.6666666666666665,4.0,1,9
20,Random,5.666666666666667,6.0,0,9
20,LHS,6.333333333333333,6.0,0,9
21,BIPOP_CMA_ES,2.388888888888889,2.0,4,9
21,DE,2.611111111111111,3.0,3,9
21,BasinGraph_v2,2.7777777777777777,3.0,3,9
21,CMA_ES,4.111111111111111,5.0,3,9
21,MS_LBFGSB,4.888888888888889,6.0,1,9
21,Random,5.555555555555555,6.0,0,9
21,LHS,5.666666666666667,6.0,0,9
22,DE,2.5555555555555554,1.5,6,9
22,BasinGraph_v2,2.7777777777777777,3.0,2,9
22,CMA_ES,3.7222222222222223,2.5,3,9
22,BIPOP_CMA_ES,3.888888888888889,4.0,3,9
22,MS_LBFGSB,4.055555555555555,4.0,2,9
22,Random,5.333333333333333,5.0,0,9
22,LHS,5.666666666666667,6.0,0,9
23,BIPOP_CMA_ES,2.2222222222222223,2.0,4,9
23,BasinGraph_v2,3.2777777777777777,3.0,1,9
23,CMA_ES,3.6666666666666665,4.0,4,9
23,DE,4.333333333333333,4.0,0,9
23,MS_LBFGSB,4.611111111111111,4.0,0,9
23,LHS,4.888888888888889,5.0,0,9
23,Random,5.0,6.0,0,9
24,BIPOP_CMA_ES,2.0,2.0,2,9
24,CMA_ES,3.0,1.0,5,9
24,BasinGraph_v2,3.111111111111111,3.0,1,9
24,DE,3.111111111111111,3.0,1,9
24,Random,5.444444444444445,6.0,0,9
24,MS_LBFGSB,5.555555555555555,5.0,0,9
24,LHS,5.777777777777778,6.0,0,9
