baseline,paired_problems,basingraph_better,basingraph_worse,ties,paired_win_probability,median_bg_minus_baseline
BIPOP_CMA_ES,216,33,131,52,0.27314814814814814,1.1359868068439027e-07
CMA_ES,216,52,116,48,0.35185185185185186,1.7341221791866701e-09
DE,216,90,95,31,0.48842592592592593,1.0658141036401503e-14
MS_LBFGSB,216,121,36,59,0.6967592592592593,-5.203801737962976e-06
Random,216,209,7,0,0.9675925925925926,-4.892513288022549
LHS,216,209,7,0,0.9675925925925926,-6.039282128047283
