problem_id,function_index,function_group,dimension,instance_index,fbest,final_value_rank,budget,nfe,archive_nodes,archive_capacity,archive_saturated,graph_edges,graph_edges_per_node,mean_node_visits,max_node_visits,mean_node_novelty,mean_edge_accessibility,max_edge_accessibility,positive_improvement_edges,positive_improvement_edge_fraction,use_center_local,use_far_basin,diag_dimension,diag_mean_scale,diag_max_scale,diag_anisotropy,diag_boundary_signal,diag_ruggedness_score,diag_sign_change_rate,diag_finite_anchor_fraction,diag_valid_axis_triplets,phase_initial_design_nfe,phase_initial_design_fraction,phase_center_local_nfe,phase_center_local_fraction,phase_coordinate_sweep_nfe,phase_coordinate_sweep_fraction,phase_far_basin_nfe,phase_far_basin_fraction,phase_archive_fallback_nfe,phase_archive_fallback_fraction,phase_final_polish_nfe,phase_final_polish_fraction,phase_budget_completion_nfe,phase_budget_completion_fraction
bbob_f005_i01_d02,5,Separable (f1-f5),2,1,-9.21,3.0,2000,2000,80,80,True,619,7.7375,13.2125,195.0,0.38835376521821685,0.29639197861603495,0.5,300,0.48465266558966075,True,True,2,10.0,10.0,1.0,-0.13036736320365133,0.5777054521596224,0.0,1.0,2,33,0.0165,12.0,0.006,372,0.186,32.0,0.016,39,0.0195,9,0.0045,1503,0.7515
bbob_f005_i02_d02,5,Separable (f1-f5),2,2,655.99,3.0,2000,2000,80,80,True,594,7.425,13.075,187.0,0.38364992860034264,0.3082139580475717,0.5,300,0.5050505050505051,True,False,2,10.0,10.0,1.0,0.0,0.037297033117601075,0.0,1.0,2,33,0.0165,12.0,0.006,372,0.186,,,42,0.021,12,0.006,1529,0.7645
bbob_f005_i03_d02,5,Separable (f1-f5),2,3,66.71,3.0,2000,2000,80,80,True,617,7.7125,13.15,188.0,0.4025299686516358,0.30118904283409986,0.5,311,0.5040518638573744,True,True,2,10.0,10.0,1.0,0.0,0.21265353819219973,0.0,1.0,2,33,0.0165,12.0,0.006,372,0.186,32.0,0.016,39,0.0195,9,0.0045,1503,0.7515
bbob_f006_i01_d02,6,Low/moderate conditioning (f6-f9),2,1,35.90000000000003,3.0,2000,2000,80,80,True,154,1.925,2.775,29.0,0.7035162918327126,0.156782981628208,1.0,60,0.38961038961038963,True,True,2,10.0,10.0,1.0,-0.09076679280321887,0.9621804252775313,0.0,1.0,2,33,0.0165,300.0,0.15,336,0.168,32.0,0.016,200,0.1,100,0.05,999,0.4995
bbob_f006_i02_d02,6,Low/moderate conditioning (f6-f9),2,2,31.37,1.5,2000,2000,80,80,True,128,1.6,2.5125,26.0,0.725256974129181,0.13501731968635533,1.0,45,0.3515625,True,True,2,10.0,10.0,1.0,-1.6570288579836836,0.9966473012589224,0.0,1.0,2,33,0.0165,288.0,0.144,361,0.1805,32.0,0.016,200,0.1,100,0.05,986,0.493
bbob_f006_i03_d02,6,Low/moderate conditioning (f6-f9),2,3,-999.999999996765,5.0,2000,2000,80,80,True,191,2.3875,3.55,40.0,0.6052942025542697,0.1856838263971753,1.0,83,0.43455497382198954,True,True,2,10.0,10.0,1.0,0.7609745925605643,1.0078574688347357,0.0,1.0,2,33,0.0165,189.0,0.0945,356,0.178,32.0,0.016,200,0.1,100,0.05,1090,0.545
bbob_f007_i01_d02,7,Low/moderate conditioning (f6-f9),2,1,92.94,2.0,2000,2000,80,80,True,196,2.45,3.85,29.0,0.6067644618078438,0.1658890397675208,0.5,77,0.39285714285714285,True,True,2,10.0,10.0,1.0,-0.6977256402999117,0.6904042368970748,1.0,1.0,2,33,0.0165,3.0,0.0015,372,0.186,32.0,0.016,12,0.006,6,0.003,1542,0.771
bbob_f007_i02_d02,7,Low/moderate conditioning (f6-f9),2,2,35.35383609492419,3.0,2000,2000,80,80,True,515,6.4375,10.2375,130.0,0.46973047951867863,0.24042535696183823,0.5,200,0.3883495145631068,True,True,2,10.0,10.0,1.0,-0.33121550337696026,0.6709266354479521,1.0,1.0,2,33,0.0165,3.0,0.0015,412,0.206,32.0,0.016,12,0.006,6,0.003,1502,0.751
bbob_f007_i03_d02,7,Low/moderate conditioning (f6-f9),2,3,3.825122905424048,4.0,2000,2000,80,80,True,612,7.65,12.625,134.0,0.46495235004708324,0.2082754040018049,0.5,246,0.4019607843137255,True,True,2,10.0,10.0,1.0,-0.7463707106016979,0.9031548254190505,0.0,1.0,2,33,0.0165,3.0,0.0015,372,0.186,32.0,0.016,12,0.006,6,0.003,1542,0.771
bbob_f008_i01_d02,8,Low/moderate conditioning (f6-f9),2,1,149.15000000000006,3.0,2000,2000,80,80,True,320,4.0,6.35,78.0,0.5436318155871206,0.1445056104796811,1.0,132,0.4125,True,True,2,10.0,10.0,1.0,-3.479744484674832,0.9416641067220854,1.0,1.0,2,33,0.0165,72.0,0.036,347,0.1735,32.0,0.016,200,0.1,63,0.0315,1253,0.6265
bbob_f008_i02_d02,8,Low/moderate conditioning (f6-f9),2,2,-1000.0,2.5,2000,2000,80,80,True,212,2.65,4.0125,49.0,0.5741389444813434,0.13597599576970745,1.0,80,0.37735849056603776,True,True,2,10.0,10.0,1.0,-0.11646940927963334,1.0425966269872835,0.0,1.0,2,33,0.0165,138.0,0.069,263,0.1315,32.0,0.016,200,0.1,75,0.0375,1259,0.6295
bbob_f008_i03_d02,8,Low/moderate conditioning (f6-f9),2,3,98.62000000000228,5.0,2000,2000,80,80,True,340,4.25,6.5625,79.0,0.45767333943332733,0.14168664132706005,1.0,135,0.39705882352941174,True,True,2,10.0,10.0,1.0,-1.127407885074411,0.9501501624993139,1.0,1.0,2,33,0.0165,96.0,0.048,297,0.1485,32.0,0.016,200,0.1,100,0.05,1242,0.621
bbob_f009_i01_d02,9,Low/moderate conditioning (f6-f9),2,1,123.8300000000012,5.0,2000,2000,80,80,True,292,3.65,5.5625,68.0,0.5456328459643676,0.16034396060631467,1.0,124,0.4246575342465753,True,True,2,10.0,10.0,1.0,-1.5642062014495386,0.9706478260043355,1.0,1.0,2,33,0.0165,66.0,0.033,348,0.174,32.0,0.016,200,0.1,99,0.0495,1222,0.611
